,Fiyat,Brüt Metrekare,yaş,bina_kat,Kullanım,tarih,tipi,Net Metrekare,oda sayısı,kaçıncı kat,ısıtma
158,6900000,230 M2,11-15,17,Kiracı Oturuyor,03 Ocak 2023,Konut,200 M2,4+1,10.Kat,Merkezi (Pay Ölçer)
160,450000,125 M2,21 Ve Üzeri,5,Kiracı Oturuyor,01 Ocak 2023,Konut,115 M2,3+1,5.Kat,Kombi Doğalgaz
162,1430000,135 M2,11-15,12,Kiracı Oturuyor,01 Ocak 2023,Konut,120 M2,3+1,7.Kat,Kombi Doğalgaz
164,1150000,100 M2,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,02 Ocak 2023,Konut,95 M2,3+1,3.Kat,Kombi Doğalgaz
166,1509000,64 M2,0 (Yeni),5,Boş,01 Ocak 2023,Konut,56 M2,2+1,3.Kat,Yerden Isıtma
168,2350000,300 M2,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,01 Ocak 2023,Konut,270 M2,8+ Oda,Düz Giriş,Kombi Doğalgaz
170,1150000,120 M2,4,3,Mülk Sahibi Oturuyor,02 Ocak 2023,Konut,110 M2,3+1,2.Kat,Kombi Doğalgaz
172,2150000,270 M2,0 (Yeni),3,Boş,01 Ocak 2023,Konut,240 M2,6+1,3.Kat,Kombi Doğalgaz
174,1100000,176 M2,21 Ve Üzeri,5,Kiracı Oturuyor,02 Ocak 2023,Konut,175 M2,3+1,5.Kat,Kombi Doğalgaz
176,5200000,220 M2,5-10,2,Mülk Sahibi Oturuyor,01 Ocak 2023,Konut,180 M2,3+1,2.Kat,Kombi Doğalgaz
178,2765000,160 M2,2,10,Mülk Sahibi Oturuyor,01 Ocak 2023,Konut,140 M2,3+1,6.Kat,Merkezi (Pay Ölçer)
180,840000,75 M2,16-20,4,Kiracı Oturuyor,01 Ocak 2023,Konut,60 M2,2+1,1.Kat,Kombi Doğalgaz
182,1175000,165 M2,21 Ve Üzeri,4,Boş,02 Ocak 2023,Konut,160 M2,3+1,2.Kat,Kombi Doğalgaz
184,1790000,248 M2,4,3,Mülk Sahibi Oturuyor,31 Aralık 2022,Konut,230 M2,6+1,3.Kat,Kombi Doğalgaz
186,1950000,120 M2,4,10,Boş,31 Aralık 2022,Konut,100 M2,2+1,6.Kat,Kombi Doğalgaz
188,2400000,240 M2,3,3,Mülk Sahibi Oturuyor,31 Aralık 2022,Konut,180 M2,5+1,3.Kat,Kombi Doğalgaz
190,1850000,140 M2,21 Ve Üzeri,6,Kiracı Oturuyor,31 Aralık 2022,Konut,115 M2,3+1,2.Kat,Merkezi (Pay Ölçer)
192,825000,85 M2,21 Ve Üzeri,4,Boş,02 Ocak 2023,Konut,75 M2,2+1,Yüksek Giriş,Kombi Doğalgaz
194,2300000,207 M2,5-10,22,Kiracı Oturuyor,31 Aralık 2022,Konut,179 M2,4+1,11.Kat,Merkezi (Pay Ölçer)
196,455000,65 M2,5-10,3,Kiracı Oturuyor,31 Aralık 2022,Konut,55 M2,1+1,3.Kat,Kombi Doğalgaz
198,1750000,273 M2,21 Ve Üzeri,3,Kiracı Oturuyor,30 Aralık 2022,Konut,180 M2,5+1,3.Kat,Sobalı
200,1750000,116 M2,16-20,3,Mülk Sahibi Oturuyor,30 Aralık 2022,Konut,100 M2,6+3,Bahçe Katı,Kat Kaloriferi
202,695000,135 M2,21 Ve Üzeri,6,Kiracı Oturuyor,02 Ocak 2023,Konut,125 M2,3+1,6.Kat,Kombi Doğalgaz
204,700000,110 M2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,02 Ocak 2023,Konut,100 M2,2+1,1.Kat,Kombi Doğalgaz
206,1200000,110 M2,5-10,4,Kiracı Oturuyor,02 Ocak 2023,Konut,90 M2,2+1,2.Kat,Kombi Doğalgaz
208,2550000,125 M2,4,5,Mülk Sahibi Oturuyor,03 Ocak 2023,Konut,115 M2,3+1,1.Kat,Kombi Doğalgaz
210,23500001,151 M2,16-20,3,Kiracı Oturuyor,02 Ocak 2023,Konut,140 M2,2+1,2.Kat,Kombi Doğalgaz
212,1555000,71 M2,3,15,Kiracı Oturuyor,02 Ocak 2023,Konut,59 M2,1+1,3.Kat,Kombi Doğalgaz
214,890000,70 M2,5-10,4,Kiracı Oturuyor,02 Ocak 2023,Konut,60 M2,2+1,2.Kat,Kombi Doğalgaz
216,590000,120 M2,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,02 Ocak 2023,Konut,110 M2,3+1,Düz Giriş,Kombi Doğalgaz
218,1350000,150 M2,5-10,3,Kiracı Oturuyor,02 Ocak 2023,Konut,140 M2,3+1,Kot 1 (-1).Kat,Kombi Doğalgaz
220,875000,225 M2,11-15,1,Kiracı Oturuyor,31 Aralık 2022,Konut,90 M2,2+1,Bahçe Katı,Sobalı
222,2850000,250 M2,21 Ve Üzeri,4,Kiracı Oturuyor,01 Ocak 2023,Konut,249 M2,2+1,Düz Giriş,Kombi Doğalgaz
224,1025000,70 M2,0 (Yeni),4,Kiracı Oturuyor,01 Ocak 2023,Konut,60 M2,2+1,3.Kat,Yerden Isıtma
226,950000,84 M2,16-20,3,Kiracı Oturuyor,31 Aralık 2022,Konut,70 M2,2+1,Düz Giriş,Sobalı
228,1525000,110 M2,4,4,Mülk Sahibi Oturuyor,29 Aralık 2022,Konut,90 M2,2+1,Çatı Dubleks,Kombi Doğalgaz
230,3350000,210 M2,3,5,Boş,29 Aralık 2022,Konut,150 M2,3+1,5.Kat,Kombi Doğalgaz
232,1535000,105 M2,0 (Yeni),4,Boş,29 Aralık 2022,Konut,75 M2,2+1,2.Kat,Kombi Doğalgaz
234,3279000,120 M2,16-20,3,Boş,01 Ocak 2023,Konut,110 M2,2+1,2.Kat,Kombi Doğalgaz
236,1350000,145 M2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,29 Aralık 2022,Konut,135 M2,3+1,5.Kat,Kombi Doğalgaz
238,2900000,340 M2,5-10,5,Boş,29 Aralık 2022,Konut,200 M2,5+1,5.Kat,Kombi Doğalgaz
240,1600000,55 M2,21 Ve Üzeri,4,Boş,29 Aralık 2022,Konut,54 M2,1+1,2.Kat,Kombi Doğalgaz
242,580000,125 M2,21 Ve Üzeri,1,Mülk Sahibi Oturuyor,29 Aralık 2022,Konut,120 M2,3+1,Bahçe Katı,Kombi Doğalgaz
244,680000,115 M2,0 (Yeni),3,Boş,29 Aralık 2022,Konut,105 M2,2+1,Tam Bodrum.Kat,Kombi Doğalgaz
246,695000,60 M2,5-10,4,Boş,01 Ocak 2023,Konut,50 M2,1+1,3.Kat,Isıtma Yok
248,1730000,132 M2,5-10,8,Mülk Sahibi Oturuyor,28 Aralık 2022,Konut,111 M2,3+1,4.Kat,Kombi Doğalgaz
250,299000,75 M2,5-10,3,Boş,31 Aralık 2022,Konut,65 M2,2+1,2.Kat,Merkezi Doğalgaz
252,1300000,60 M2,0 (Yeni),6,Boş,28 Aralık 2022,Konut,45 M2,2+1,5.Kat,Kombi Doğalgaz
254,1150000,130 M2,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,28 Aralık 2022,Konut,110 M2,3+1,Müstakil.Kat,Doğalgaz Sobalı
256,1420000,130 M2,5-10,5,Boş,28 Aralık 2022,Konut,115 M2,3+1,3.Kat,Kombi Doğalgaz
258,950000,60 M2,0 (Yeni),3,Boş,28 Aralık 2022,Konut,40 M2,1+1,1.Kat,Kombi Doğalgaz
