Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Krediye Uygunluk,Yapı Durumu,Site İçerisinde,Banyo Sayısı,Fiyat Durumu,Tipi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Tapu Durumu,Eşya Durumu,Konum,Fiyat
100,4,5,0,1,2,1,1,3,0,120,5,5,1,0,11,1299000
95,6,3,4,1,2,1,2 ,3,0,100,5,5,4,0,11,1649000
75,2,2,4,1,2,0,1,3,0,80,7,3,1,0,11,1849000
90,2,2,4,1,2,1,1 ,3,0,100,2,5,4,0,11,1599000
85,2,3,4,1,2,1,1,3,0,95,5,5,4,0,11,1382000
80,2,5,4,1,2,1,1 ,3,0,90,5,5,3,0,11,1237000
120,6,3,4,1,2,1,1,3,0,130,5,5,4,0,11,1699000
130,6,2,4,1,2,1,1 ,3,0,140,5,4,1,0,9,3294000
175,10,3,4,1,2,1,2 ,3,0,190,8,4,1,0,1,3450000
85,2,0,0,2,2,1,1 ,3,0,95,5,4,1,0,9,759000
175,10,3,4,1,2,1,2 ,3,0,190,8,4,1,0,1,3450000
85,2,0,0,2,2,1,1 ,3,0,95,5,4,1,0,9,759000
100,6,5,6,1,2,0,1,3,0,120,5,5,3,0,11,2000000
80,2,1,4,1,2,1,1 ,3,0,95,8,3,1,0,1,1700000
140,6,3,4,1,2,1,1 ,3,0,160,8,3,1,0,1,2380000
100,2,2,4,1,2,1,1 ,3,0,110,5,3,1,0,1,1590000
95,2,-1,4,1,2,1,1,3,0,105,2,3,1,0,11,975000
125,6,4,4,1,2,1,1 ,3,0,135,5,4,5,0,2,970000
125,6,4,4,1,2,1,1 ,3,0,135,5,4,5,0,2,970000
115,6,1,4,1,2,1,1 ,3,0,125,2,5,4,0,6,2750000
150,6,2,4,1,2,0,1,3,0,175,2,5,3,0,4,3500000
90,2,2,4,1,2,1,1,3,0,100,2,6,3,0,4,2350000
135,6,4,4,1,2,1,1 ,3,0,150,5,5,4,0,0,1150000
135,6,2,4,1,2,1,1 ,3,0,150,5,4,4,0,0,1200000
70,2,1,0,2,2,1,1 ,3,0,80,5,3,1,0,9,750000
90,2,7,5,1,2,0,1 ,3,0,95,8,7,1,0,12,1495000
90,2,7,5,1,2,0,1 ,3,0,95,8,7,1,0,12,1495000
65,0,1,8,1,2,0,1 ,3,0,80,6,6,1,1,6,1339000
55,2,1,4,1,2,0,1 ,3,0,60,8,4,1,1,6,1329000
75,2,2,4,1,2,1,1 ,3,0,85,8,4,1,1,6,1330000
120,2,2,4,1,2,1,1,3,0,130,3,4,4,0,9,1600000
180,10,3,4,1,2,1,1 ,3,0,200,0,3,1,0,12,2235000
130,6,1,4,1,2,0,1,3,0,145,7,3,3,0,6,2400000
95,2,-1,4,1,2,1,1,3,0,105,2,3,1,0,11,975000
130,6,1,4,1,2,0,1,3,0,145,7,3,3,0,6,2400000
40,0,2,4,1,2,1,1,3,0,50,8,3,1,1,6,1075000
130,6,1,4,1,2,0,1,3,0,145,7,3,3,1,6,2400000
140,10,0,4,1,2,1,2,1,0,170,7,5,1,0,9,2500000
85,2,2,4,1,2,1,1,3,0,95,5,4,3,0,9,1500000
75,2,-1,6,0,2,0,1 ,3,0,150,5,1,1,0,0,920000
60,2,1,1,2,2,1,1 ,3,3,127,0,1,1,0,4,2500000
160,6,3,4,1,2,1,2,3,1,209,0,3,1,0,0,2600000
110,6,1,4,1,2,1,1 ,3,0,125,7,3,4,0,0,1595000
85,2,1,4,1,2,0,1 ,3,0,100,7,3,1,0,0,1795000
90,4,1,4,1,2,1,2 ,3,0,100,8,7,1,1,6,2675000
128,6,1,4,1,2,1,2 ,3,0,140,6,5,1,0,6,3790000
83,2,1,4,1,2,1,1,3,0,98,6,3,1,0,6,2400000
80,2,1,4,1,2,1,1 ,3,0,90,7,3,4,0,9,1750000
80,2,1,4,1,2,1,1 ,3,0,90,7,3,4,0,9,1750000
85,2,1,4,1,2,0,1 ,3,0,100,4,6,1,0,4,2050000
150,6,5,4,1,2,0,1,3,0,180,5,5,4,0,0,2575000
180,10,2,6,1,2,1,3,3,0,200,5,5,4,0,9,4100000
122,2,1,4,1,2,1,1 ,3,0,135,4,1,4,0,9,2275000
135,6,1,4,1,2,1,1 ,3,0,145,8,3,1,0,9,2000000
85,2,4,4,1,2,1,1,3,0,90,5,4,1,0,0,1800000
82,2,4,1,1,2,1,1,3,0,85,5,4,1,0,0,1360000
83,2,1,4,1,0,1,1,3,0,85,0,4,1,0,0,2500000
135,6,3,4,1,2,1,2,3,0,140,0,3,4,0,4,4000000
95,2,-1,4,1,2,1,1,3,0,105,2,3,1,0,11,975000
132,6,3,4,2,2,0,1,3,0,150,1,5,1,0,13,3200000
119,2,4,4,1,2,1,1,3,0,128,8,4,3,0,9,1750000
55,2,3,4,1,2,1,1 ,3,0,60,1,6,1,1,6,1430000
200,10,4,6,1,2,0,2 ,3,0,235,3,7,1,0,9,3650000
120,6,6,8,2,2,0,1 ,3,0,135,0,10,4,0,6,3050000
60,2,3,4,1,2,1,1 ,3,0,80,6,5,1,0,9,2600000
45,0,3,4,1,2,1,1,3,0,55,8,4,3,1,6,1365000
120,2,2,4,1,2,1,1 ,3,0,135,0,4,4,0,2,1700000
90,2,4,4,1,2,1,1 ,3,0,100,5,4,4,0,2,850000
120,6,2,2,1,2,1,1 ,3,0,130,0,3,1,0,9,2750000
60,2,4,4,1,2,0,1 ,3,0,65,0,6,1,1,6,1550000
100,2,1,6,1,2,1,1 ,3,0,110,5,5,4,1,9,3500000
110,2,1,4,1,2,1,1,3,0,120,8,5,3,0,3,2350000
100,6,4,6,1,2,0,1,3,0,120,5,5,3,0,11,3160000
220,10,5,4,1,2,1,1 ,3,0,230,2,5,1,0,11,2650000
85,2,4,4,1,2,1,1,3,0,95,5,4,4,0,11,1360000
90,2,1,4,1,2,1,1 ,3,0,95,5,5,4,0,0,680000
174,10,-1,4,1,2,1,1 ,3,0,200,7,2,1,0,6,2590000
115,6,3,4,1,2,0,2 ,3,0,125,4,13,1,0,9,2900000
82,2,2,4,1,2,1,1,3,0,85,5,4,1,0,0,2000000
90,2,2,7,1,2,1,1,3,3,95,8,2,4,0,2,1950000
90,2,1,4,1,2,1,2 ,3,0,105,8,2,3,0,9,1890000
120,6,2,4,1,2,1,1 ,3,0,135,2,4,1,0,6,2150000
70,0,3,4,1,2,1,1 ,3,0,80,8,4,4,1,6,1400000
65,0,2,4,1,2,1,1 ,3,0,70,8,4,4,1,6,1100000
95,2,-1,4,1,2,1,1,3,0,105,2,3,1,0,11,975000
60,0,4,4,1,2,1,2 ,3,0,75,8,4,1,1,6,1400000
100,2,0,0,1,2,1,1,3,0,120,5,4,3,0,11,975000
125,2,3,4,1,2,1,1,3,0,150,5,5,1,0,11,1575000
110,2,1,4,1,2,1,1,2,0,120,2,3,3,0,6,2300000
230,10,3,4,1,2,1,2,3,0,240,8,3,3,0,6,2950000
137,6,1,4,1,2,1,1 ,3,0,150,5,4,1,0,6,3125000
160,6,4,4,1,2,0,2,3,0,180,7,4,3,0,12,4800000
75,1,1,7,2,0,1,1,3,0,273,0,1,0,0,13,4250000
80,2,4,0,1,2,1,1,3,0,95,5,4,4,0,11,825000
120,6,5,7,1,2,1,1 ,3,0,125,5,5,1,0,0,750000
110,6,3,8,1,0,1,1,3,0,125,0,4,5,0,12,1900000
70,2,3,4,1,2,0,1,3,0,75,3,5,4,0,4,1850000
135,6,5,4,1,2,0,1,3,0,145,5,5,3,0,8,1850000
50,0,1,4,1,2,1,1 ,3,0,55,8,4,1,1,6,1199000
50,2,3,4,1,2,0,1 ,3,0,60,6,6,1,1,6,1679000
85,2,4,4,1,2,1,1,1,0,90,5,4,1,0,9,1100000
235,13,3,4,1,2,1,2 ,3,0,260,0,3,4,0,0,2700000
120,6,1,4,1,2,0,1 ,3,0,130,5,7,4,0,0,2200000
100,2,1,4,1,2,1,1 ,3,0,110,5,4,4,0,11,1499000
75,0,-1,4,1,2,1,1 ,3,0,85,5,5,4,0,9,1049000
100,2,2,0,2,2,1,1,2,0,105,5,4,5,0,9,1280000
120,2,1,4,1,2,0,1 ,3,0,140,7,5,1,0,0,2600000
95,2,-1,4,1,2,1,1,3,0,105,2,3,1,0,11,975000
85,2,1,4,1,2,1,1,3,0,95,8,4,3,0,9,1565000
135,6,5,4,0,2,1,1,3,0,145,3,5,1,0,4,2500000
140,2,1,4,2,2,1,1 ,3,0,145,5,4,1,0,9,1250000
80,2,2,0,2,2,1,1 ,3,0,85,5,4,1,0,11,850000
75,2,3,4,1,2,0,1 ,3,0,80,7,5,1,0,6,2200000
125,6,1,4,1,2,1,2,3,0,130,0,3,1,0,0,2100000
125,6,5,4,1,2,0,1,3,0,130,5,10,1,0,0,1625000
125,6,5,4,1,2,0,1,3,0,130,5,10,1,0,0,1625000
85,2,1,4,2,2,1,1,3,0,100,8,3,1,0,0,1750000
110,6,4,4,0,2,1,1,3,0,120,5,5,3,0,11,1490000
75,2,3,4,1,2,1,1 ,3,0,85,3,5,4,1,0,2450000
115,6,1,4,1,2,1,1,3,0,139,2,4,1,0,6,2835000
115,6,1,4,1,2,1,1,3,0,139,2,4,1,0,6,2835000
75,2,1,8,1,2,1,1 ,3,0,95,0,2,1,0,9,1899000
140,6,6,4,1,2,0,2,2,0,145,8,7,3,0,6,4100000
70,2,0,4,1,2,1,1 ,3,0,80,8,4,4,0,9,1375000
65,0,3,4,2,2,0,1 ,3,0,70,8,3,1,1,6,1275000
50,0,1,4,1,2,1,1 ,3,0,60,1,4,1,1,6,1325000
140,6,2,4,1,2,0,2 ,3,0,160,8,5,1,0,6,4850000
75,2,1,8,1,2,1,1 ,3,0,111,0,8,1,0,11,2500000
90,2,1,8,1,2,0,1 ,3,0,115,6,9,1,0,11,3100000
95,2,0,4,1,2,1,1,3,0,105,8,5,3,0,6,1499000
95,2,-1,4,1,2,1,1,3,0,105,2,3,1,0,11,975000
50,2,1,4,1,0,0,1,3,0,60,0,5,3,1,6,1600000
