,Fiyat,Yaş,Bina Kat,Net Metrekare,Oda Sayısı,Kaçıncı Kat,7_Dubleks,7_Konut,7_Müstakil,7_Villa,11_Doğalgaz Sobalı,11_Kat Kaloriferi,11_Klimalı,11_Kombi Doğalgaz,11_Kombi Fueloil,11_Merkezi,11_Sobalı,11_Yerden Isıtma
193,2500000,18,5,145,4,4,0,1,0,0,0,0,0,0,1,0,0,0
194,1299000,4,4,75,3,1,0,1,0,0,0,0,0,1,0,0,0,0
195,979000,8,5,80,3,1,0,1,0,0,0,0,0,1,0,0,0,0
196,875000,25,4,110,3,3,0,1,0,0,0,0,0,1,0,0,0,0
197,2700000,13,5,140,4,2,0,1,0,0,0,0,0,1,0,0,0,0
198,3750000,25,3,102,3,-3,0,1,0,0,0,0,0,1,0,0,0,0
199,1275000,0,5,90,3,2,0,1,0,0,0,0,0,1,0,0,0,0
200,1149000,13,5,60,3,-1,0,1,0,0,0,0,0,1,0,0,0,0
201,1470000,18,5,120,4,1,0,1,0,0,0,0,0,1,0,0,0,0
202,2150000,0,5,130,4,4,0,1,0,0,0,0,0,1,0,0,0,0
203,4100000,18,2,280,6,2,0,0,1,0,0,0,0,1,0,0,0,0
204,1850000,0,5,105,4,3,0,1,0,0,0,0,0,1,0,0,0,0
205,2400000,0,3,180,5,3,1,0,0,0,0,0,0,0,0,0,0,1
206,1950000,25,5,140,4,5,0,1,0,0,0,0,0,0,0,1,0,0
207,1060000,25,2,130,3,1,0,1,0,0,1,0,0,0,0,0,0,0
208,2199000,25,2,254,8,2,0,0,1,0,1,0,0,0,0,0,0,0
209,1800000,4,5,110,3,4,0,1,0,0,0,0,0,1,0,0,0,0
210,1000000,25,3,60,2,3,0,0,1,0,0,0,0,0,0,0,0,0
211,2100000,18,5,115,4,5,0,1,0,0,0,0,0,1,0,0,0,0
212,1995000,13,8,125,4,4,0,1,0,0,0,0,0,1,0,0,0,0
213,1935000,13,8,125,4,3,0,1,0,0,0,0,0,1,0,0,0,0
214,3500000,4,6,127,3,5,0,1,0,0,0,0,0,0,0,0,0,1
215,1585000,8,5,120,4,2,0,1,0,0,0,0,0,1,0,0,0,0
216,1559000,1,5,73,2,2,0,1,0,0,0,0,0,0,0,0,0,1
217,575000,25,5,90,3,-1,0,1,0,0,0,0,0,1,0,0,0,0
218,1750000,8,19,129,4,14,0,1,0,0,0,0,0,0,0,1,0,0
219,1060000,4,4,85,3,2,0,1,0,0,0,0,0,1,0,0,0,0
220,1600000,25,5,100,3,2,0,1,0,0,0,0,0,0,0,1,0,0
221,545000,25,1,84,3,1,0,1,0,0,1,0,0,0,0,0,0,0
222,3900000,8,2,260,5,2,0,0,0,1,0,0,0,1,0,0,0,0
